Pub_ID;Pub_name
479;Ecco
480;Harcourt Brace Jovanovich
481;Severn House Publishers
482;Ellora's Cave
483;Counterpoint
484;Polyface
485;Norton
486;Regnery Publishing
487;Bloomsbury
488;National Geographic Society
489;Ebury (A Division of Random House Group)
490;Viking Adult
491;Headline Book Pub Ltd
492;Marvel
493;Heyne
494;Robert Laffont
495;Harper Voyager
496;Minotaur Books
497;Bantam Spectra
498;Dark Horse
499;HarperTorch (an imprint of HarperCollins Publishers)
500;Summit University Press
501;Beacon Press
502;Beacon Press (Boston)
503;Addison-Wesley Professional
504;Plexus Publishing Ltd
505;Simon & Schuster Childrens Books
506;Harper Business
507;Arrow
508;Hci
509;IVP Books
510;DeVorss & Company
511;Random House Large Print
512;Ronin Publishing (CA)
513;Bloomsbury UK
514;McSweeney's
515;Riverhead Books
516;Arcadia Publishing
517;Albin Michel
518;American University in Cairo Press
519;Speak
520;Chaosium
521;HarperCollins Publishers Ltd
522;Alison Green Books
523;Scholastic  Inc.
524;Penguin Books (NY)
525;Longman Schools Division (a Pearson Education Company)
526;PerfectBound (HarperCollins)
527;Random House (NY)
528;Headline Review
529;Trafford Publishing
530;Atlantic
531;Atlantic Books
532;Geddes & Grosset
533;Picador  Macmillan Publishers Ltd
534;Edebé
535;AHA! Process
536;Phoenix
537;Manning Publications
538;Penguin Group
539;Cold Spring Harbor Laboratory Press
540;Rivages
541;Atheneum
542;Richard Jackson Books
543;Kiepenheuer & Witsch
544;Algonquin Books
545;Scribner Classics
546;Pineapple Press
547;Black Swan
548;University of South Carolina Press
549;Minnesota Historical Society Press
550;Penguin Global
551;Audio Partners
552;Warner Vision
553;St. Martins Press-3PL
554;Tougher Disguises
555;Zeta Bolsillo
556;HarperCollins UK
557;Pelican Publishing
558;Douglas  McIntyre
559;Running Press
560;Time-Life Books  Inc.
561;Walker Books
562;Children's Press(CT)
563;Collection of Historical Scientific Instruments
564;Harper Perennial (NYC)
565;Silhouette Desire
566;Johnson Publishing Company (IL)
567;Viking Children's Books
568;Microsoft Press
569;Galahad Books
570;Vermilion
571;Harvard Business Review Press
572;Green Integer
573;Wildside Press
574;Collectors Library
575;Hovel Audio
576;Material World
577;Philomel Books
578;Child's Play International
579;Paulist Press
580;Chelsea House Publications
581;Dial Press Trade Paperback
582;Berkley
583;Chalice Press
584;Belknap Press of Harvard University Press
585;Wizards of the Coast
586;MacMillan General Books
587;Norma
588;MacMillan Audio
589;Anchor Canada
590;Heinemann Library
591;Barron's Educational Series
592;HarperPerennial 
593; Perennial Classics
594;Harper Perennial Classics
595;The Crossroad Publishing Company
596;Park Street Press
597;Dalkey Archive Press
598;Ivan R. Dee Publisher
599;Delta Publishing
600;Plume (Penguin Books Ltd)
601;Cartwheel
602;De Boekerij
603;Random House: Modern Library
604;Gemstone Publishing
605;Golden Books
606;Running Press Kids
607;Pearson Longman
608;Island
609;Addison Wesley Publishing Company
610;Puffin Books
611;Time Warner Paperbacks
612;Firelight Press
613;Baen Books
614;William Morrow & Company  Inc.
615;Bastei Lübbe
616;Hodder & Stoughton Ltd
617;Delacorte Books
618;1st World Library
619;Touchstone Books
620;University of Georgia Press
621;French & European Publications
622;Omohundro Institute and University of North Carolina Press
623;Jane Nissen Books
624;Everyman Paperback Classics
625;Orbis Books
626;Flamingo
627;University of Washington Press
628;Bradford Book
629;W.W. Norton & Company (NYC)
630;St. Martin's Minotaur
631;Vertigo
632;Contemporary French Fiction
633;Penguin Books  Limited (UK)
634;Titan Books
635;Abraham Guillen Press
636;Apress
637;Palgrave Macmillan
638;DAW Hardcover
639;Disney Press
640;Broadview Press Inc
641;City Lights Publishers
642;Miramax Books
643;Peter Owen Ltd
644;Maxima New Media
645;St. Martin's Paperbacks
646;Little  Brown Books for Young Readers
647;Margaret K. McElderry Books
648;The New York Review Children's Collection
649;皇冠文化出版有限公司
650;Oberlin College Press
651;Random House Children's Books
652;North Star Publications (MA)
653;Simon Publications
654;Chatto & Windus
655;Le Livre de Poche
656;Barbour Books
657;Harvest House Publishers
658;Vision Forum
659;TarcherPerigee
660;Penguin Group(CA)
661;Abacus
662;Steerforth
663;Steerforth Press
664;Rick Steves
665;Harper Trophy
666;City Lights
667;America's Test Kitchen
668;Vintage Books
669;Books on Tape
670;Paul Dry Books
671;Focus
672;Doubleday Publishing (NY)
673;Hay House
674;Penguin Books 
675;Chronicle Books
676;Regnery History
677;Applewood Books
678;Providence Forum Press
679;Faber & Faber
680;Putnam Adult
681;G. P. Putnam's Sons
682;Smithmark Publishers
683;Steidl
684;HarperSanFrancisco
685;Gibbs Smith
686;Fount
687;Tyndale House Publishers
688;Whitaker House
689;Knopf Books for Young Readers
690;Penguin (Non-Classics)
691;New World Library
692;Cemetery Dance Publications
693;American Diabetes Association
694;Sceptre
695;Nelson Thornes Ltd
696;Knopf Doubleday Publishing Group
697;Fodor's
698;Harlequin Anthologies
699;Debolsillo
700;French & European Pubns
701;Limitless Corporation
702;Poisoned Pen Press
703;University of Michigan Press
704;Roaring Brook Press
705;Ten Speed Press
706;Berkley Sensation
707;Ave Maria Press
708;Corgi
709;Fourth Estate
710;SparkNotes
711;AudioGO
712;Random House Anchor
713;Pantheon Books
714;Kodansha America
715;Nymphenburger
716;Paul S. Eriksson
717;Phoenix Press (UK)
718;Norton and Co.
719;Sage Publications  Inc
720;Darton  Longman & Todd
721;Faber and Faber
722;Sleeping Bear Press
723;Dark Horse Manga
724;Sinauer Associates
725;Island Press
726;Wiley-Blackwell
727;Rufus Publications
728;Booksales
729;Mythopoeic Press
730;Ballantine Books (NY)
731;Lantern Books
732;Wiley (TP)
733;Silhouette Romance
734;Mills & Boon
735;Metropolitan Books
736;Quality Paperback Book Club
737;BALLANTINE BOOKS
738;Wilhelm Goldmann Verlag  GmbH
739;Lucent Books
740;Villard Books
741;Lübbe
742;Public Square Books
743;Drawn and Quarterly
744;Jonathan Cape
745;No Exit Press
746;Harmony
747;Conari Press
748;Warner Adult
749;Scholastic Press
750;Penguin Classic
751;Harpperen
752;Columbia University Press
753;Usborne Books
754;Hodder Audio
755;New York: Random House
756;London : Collins  2004.
757;HarperCollinsChildren’sBooks
758;Lectorum Publications
759;Bloomsbury Paperbacks
760;NYRB Classics
761;Nova Fronteira
762;Andrews McMeel Publishing
763;Penguin Popular Classics
764;Northwestern University Press
765;Verso
766;Haymarket Books
767;Orion
768;HarperTrophy
769;Minnesota Heritage Publishing
770;Thomas Y. Crowell Company
771;Taylor Productions Ltd
772;Orb Books
773;Tor
774;Forge
775;Forge Books
776;F & W Publications Inc.
777;Tor Fantasy
778;Macmillan Audio
779;Price Stern Sloan
780;Egmont Children's Books
781;Random House for Young Readers
782;Random House  for Young Readers
783;Hachette
784;Live Oak Media
785;Griffin
786;Treat Enterprises
787;Pocket Star
788;Tommy Nelson
789;Harper & Row
790;HarperFestival
791;Winter on the Farm (My First Little House)
792;Doubleday Books for Young Readers
793;University of Massachusetts Press
794;Dorling Kindersley Children
795;DK
796;Disney Enterprises
797;DK Children
798;Time Life Medical
799;Eminent Lives
800;Crossway Books
801;Penguin Workshop
802;Michael Joseph
803;Profile Books
804;Robert Rose
805;Counterpoint LLC
806;Edimat Libros
807;Saunders
808;Random House Audio Publishing Group
809;J'ai Lu
810;Klincksieck
811;Random house
812;Harlequin Temptation
813;Virago UK
814;Longman
815;Ebury Press
816;DK Publishing
817;Albert Whitman  Company
818;Mondadori
819;Methuen Drama
820;W.W. Norton  Company
821;Holt Paperbacks
822;Gallimard Jeunesse
823;HarperEntertainment
824;Dark Horse Comics
825;Titan Books Ltd
826;Award Books
827;Holt McDougal
828;Random House Value Publishing
829;Little  Brown Young Readers
830;Albury Publishing
831;FaithWords
832;Thunder's Mouth Press Books
833;Watson-Guptill Publications
834;Deadite Press (Eraserhead Press)
835;Dr. Master Productions Inc.
836;Seven Stories Press
837;Back Bay
838;Little  Brown & Company
839;Roberts Rinehart Publishers
840;Lawbook Exchange  Ltd.
841;East Bay Municipal Utility District
842;Amherst Media  Inc.
843;Piatkus Books
844;Amherst Media
845;Express Publishing
846;Barefoot Books
847;Dial
848;University Press of Florida
849;Starcatcher Press
850;Sudamericana
851;New Island Books
852;Frederick P. Lenz Foundation for American Buddhism
853;Dell Publishing Company
854;Transworld Publishers
855;Indiana University Press
856;Mayfield Publishing Company (NY)
857;Orchard Books
858;Abingdon Press
859;Destiny Image Incorporated
860;William B. Eerdmans Publishing Company
861;Phoenix Press
862;Hyperion Books
863;Starscape
864;Tom Doherty Tor Fantasy
865;Luna
866;Rowohlt Verlag
867;Collins Design
868;Joshua Odell Editions
869;Dragonfly Books
870;iBooks
871;Everyman's Library Classics
872;Harcourt  Inc.(Harvest Book)
873;Theatre Communications Group
874;El Paso Norte Press
875;Aspect
876;Golden
877;Disney
878;Nostalgia Ventures
879;McClelland and Stewart
880;Dutton Books for Young Readers
881;University of North Carolina Press
882;Lumen
883;British Film Institute
884;Methuen Publishing
885;Cumberland House Publishing
886;Windsor Golden Series
887;Cistercian Publications
888;btb
889;Henry Holt
890;Bloomsbury USA
891;C. Bange
892;Insel
893;Piper Verlag
894;Laurel Leaf Library
895;BBC Audiobooks
896;Pimlico
897;Luath Press Ltd
898;Daw Books
899;Tauris Parke Paperbacks
900;Rowohlt Tb
901;Napoleon and Co
902;Highbridge Audio
903;"Izdavačka agencija ""Draganić"""
904;Trine Day
905;Eerdmans
906;Augsburg Fortress Publishing
907;Crown Forum
908;Allen Lane
909;Stewart  Tabori and Chang
910;Julie Andrews Collection
911;Arbordale Publishing
912;Virgin Publishing
913;Free Spirit Publishing
914;Taunton Press
915;Houghton Mifflin Harcourt P
916;DeBolsillo
917;Rizzoli
918;Orion Publishing Co.
919;Schirmer
920;Mosel
921;Adams Media
922;Michael O'Mara
923;Brilliance Audio
924;Baronet Books
925;Wordsworth Editions
926;Countryman Press
927;Hard Crime Case
928;Plaza y Janés
929;Renaissance Books
930;New English Library
931;Simon & Schuster Libros en Español
932;LGF
933;Inter Varsity Press
934;Random House  Inc.
935;Sweet Valley
936;Suma de Letras Brasileiras
937;Secker
938;Simon & Schuster (Trade Division)
939;Archie Comics
940;TSR Inc.
941;Canongate U.S.
942;MacMillan Publishing Company
943;Little Bookroom
944;Grove Press (NYC)
945;Fulcrum Publishing
946;Allen & Ulwin
947;Copper Canyon Press
948;Arrow Books
949;Perigee Trade
950;Gold Eagle
951;Games Workshop(uk)
952;Seal
953;Lasser Press
954;TheViking Press
955;Swallow Press
956;Gibbs Smith Publishers
957;Carroll & Graf Publishers
958;Hodder Wayland
959;Rowohlt Taschenbuch Verlag GmbH
960;Century
961;Fleming H Revell Co
962;Living Books
963;Hill & Wang
964;Schocken Books Inc
965;Hill and Wang
966;Gürze Books
967;Gurze Books
968;Waterbrook Press
969;Fontana
970;Sphere
971;Editions du Rocher
972;Harpercollins Children's Books
973;Aladdin Paperbacks
974;Black Lizard Books
975;New Directions Publishing Corporation
976;Western Publishing Company  Golden Books
977;University of Texas Press
978;Editions 10
979;18
980;NAL Trade
981;Phébus
982;Bookspan
983;Nelson Reference & Electronic Publishing
984;Here's Life Publishers
985;Nelson Books
986;Th1nk Books
987;Denoël
988;Éditions du Rocher
989;Blanvalet Taschenbuch
990;Penguin Signet
991;Book of the Month Club
992;New English Library (Hodder & Stoughton)
993;NAL Books
994;Columbia Pictures Pubns
995;Plaza & Janes Editores Sa
996;Belknap Press
997;Sutton
998;George Braziller
999;Holt  Rinehart and Winston  Inc.
1000;Grove Press  Granta
1001;Amistad Press
1002;Diogenes Verlag
1003;TusQuets
1004;Penguin Essential Editions
1005;Teacher's Pet Publications  Inc.
1006;Timeless Texts
1007;Timber Press (OR)
1008;Random House UK Ltd (A Division of Random House Group)
1009;Tachyon Publications
1010;Roc
1011;Lodestar Books
1012;Gallimard Education
1013;Hamish Hamilton
1014;Night Shade Books
1015;Bantam Spectra (NY)
1016;Simon & Schuster (NY)
1017;Association for Scottish Literary Studies
1018;Little Brown
1019;Johns Hopkins University Press
1020;William Morrow 
1021; Harper
1022;Norma Editorial
1023;Blackwell Publishing  Inc.
1024;Routledge Classics
1025;Harper & Row (NYC et al.)
1026;Éditions de Minuit
1027;Oberon Books
1028;Yesterday's Classics
1029;Marsilio Publishers
1030;Grove
1031;Atlantic  Inc.
1032;Simon Pulse
1033;Owlet Paperbacks
1034;Charles Scribner's Sons
1035;HarperPerennial
1036;Dutton Children's Books
1037;Owl Books
1038;Owl Books (NY)
1039;Booklocker.com  Inc.
1040;Penguin-HighBridge
1041;Aris and Phillips
1042;Transaction Publishers
1043;Mysterious Press
1044;International Polygonics
1045;Kaplan
1046;Dover Publications  Inc.
1047;Stanford University Press (Stanford  CA)
1048;Métailié
1049;Piper
1050;Bloomsbury (NYC)
1051;Random House Vintage Books
1052;Dafina Books
1053;Dell Publishing
1054;Viking Press
1055;Nation Books
1056;Europa Editions
1057;Brava
1058;Alpha
1059;Thomas Nelson Publishers
1060;Seymour Lawrence
1061;Noonday Press
1062;Siete Cuentos
1063;AK Press
1064;Serpent's Tail
1065;Odonian Press
1066;Henry Holt & Co. (NY)
1067;MIT Press (Cambridge  MA)
1068;Routledge Falmer
1069;Fawcett Crest Books
1070;"William Morrow; 1ST edition"
1071;Virago
1072;Barnes & Noble Books
1073;IndyPublish.com
1074;Harlequin Historical
1075;Millipede Press
1076;Arrow (A Division of Random House Group)
1077;Walker
1078;Fourth Estate (GB)
1079;Element
1080;Llewellyn Publications
1081;Virago Press (UK)
1082;Carl Hanser
1083;Octopus Books
1084;Bloomsbury Arden Shakespeare
1085;W. W. Norton & Co.
1086;Bantam Classic
1087;Signet Classic
1088;BBC Audiobooks America
1089;Siloam
1090;Quill
1091;Cooper Square Publishers
1092;TIme Warner Books
1093;Headline
1094;Jimmy Patterson
1095;DC Comics
1096;Laurel-Leaf Books
1097;Harry N. Abrams
1098;Citadel Press
1099;Moody Publishers (Chicago)
1100;Phaidon Press
1101;Thames & Hudson Ltd
1102;Eos
1103;Prima Games
1104;Hqn
1105;Bookclub-In-A-Box
1106;Canadian Broadcasting Corporation (CBC Audio)
1107;Penguin Books Canada
1108;Indigo
1109;Harvard University Press (Cambridge)
1110;"Viking; G. P. Putnam & Sons"
1111;Fireside Books
1112;Fortress Press
1113;VIZ Media
1114;J'ai lu
1115;Poseidon Press
1116;Dabel Brothers Publishing
1117;Meisha Merlin Publishing
1118;St. Martins Press
1119;New Press
1120;Daimon Verlag
1121;Hakusen Sha
1122;講談社
1123;ComicsOne Corporation
1124;Gallery 
1125; Saga Press
1126;Everyman Chess
1127;Russell Enterprises
1128;ADV Manga
1129;TokyoPop
1130;Viz Media
1131;Kids Can Press
1132;EOS
1133;Your Coach Digital
1134;Dabel Brothers Productions
1135;Random House Vintage
1136;BantamSpectra
1137;AvonEos
1138;Orbit
1139;University of Toronto Press
1140;Games Workshop
1141;DAW Books
1142;DAW
1143;Luna Books
1144;Baen
1145;Roc Hardcover
1146;Kodansha International
1147;Rizzoli International Publications
1148;MacAdam
1149;Cage
1150;Harlequin Books
1151;Silhouette Special Edition
1152;Millenium
1153;Imprint Academic
1154;Carlsen
1155;Companhia das Letras
1156;VeloPress
1157;Sounds True
1158;Babel
1159;Digital Manga Publishing
1160;University of Minnesota Press
1161;Library of American Comics
1162;Orion Paperbacks
1163;Salamandra
1164;Amereon Ltd
1165;Harvill Press
1166;Kodansha
1167;Wenner Books
1168;Hodder & Stoughton
1169;Bantam Doubleday Dell Publishing Group
1170;Scholastic Reference
1171;Kent State University Press (OH)
1172;York Press
1173;Turtleback Books Distributed by Demco Media
1174;Focal Press
1175;Cengage Learning
1176;Monkfish Book Publishing
1177;J'AI LU
1178;Dedalus Limited
1179;Kindle
1180;Joanna Cotler Books
1181;Cherry Red Books
1182;Klett
1183;Moyer Bell and its subsidiaries
1184;Soho Crime
1185;Acropolis Books (NY)
1186;AVA Publishing
1187;Inkling Books
1188;時報出版
1189;Houghton Mifflin Co. (Boston
1190;NY)
1191;Tyndale Momentum
1192;Bear  Company
1193;Gollancz
1194;Warners Visions Books
1195;Pan Publishing
1196;Kabel  Verlag GmbH Ernst
1197;Bison Books
1198;Pavilion Press (Wi)
1199;Charnwood
1200;Revive Publishing
1201;Riverhead Hardcover
1202;Bloomsbury Children's Books
1203;Brill
1204;Rodopi
1205;Headline Book Publishing
1206;Marion Boyars Publishers Ltd
1207;Abrams
1208;Random House Mondadori
1209;Salem Press Inc
1210;SaltRiver
1211;Deutscher Taschenbuch Verlag
1212;聯經出版事業股份有限公司
1213;University of Utah Press
1214;St. Martin's True Crime
1215;BBC Audiobooks Ltd
1216;Collins Modern Classics
1217;Roc Trade
1218;London : Faber  2002
1219;Severn House
1220;ACE
1221;Anchor Bible
1222;Earthlight
1223;Archipelago Books
1224;Celestial Arts
1225;Pinter & Martin Ltd
1226;Jones & Bartlett Publishers
1227;Nick Hern Books
1228;Abstract Studio
1229;Bloomsbury U.S.A. Children's Books
1230;University Press of America
1231;Marlowe & Company
1232;University of Calgary Press
1233;Grasset
1234;Westholme Publishing
1235;Bright Sky Press
1236;Topaz
1237;Bloomsbury Childrens Books
1238;MacMillan
1239;Recorded Books
1240;Henry Holt and Co. (BYR)
1241;Pi Press
1242;Regan Books
1243;Plaza & Janés Mexico
1244;Ulysses Press
1245;Emece Editores
1246;Wizarding World Press
1247;Arthur A. Levine Books 
1248; Scholastic Inc.
1249;Bloomsbury USA Children's Books
1250;Destino Ediciones
1251;Turtleback
1252;PerfectBound
1253;Authorhouse
1254;Piatkus
1255;Random House UK Distribution
1256;Watkins Publishing
1257;Diana TB
1258;Harper Perennial (HarperCollins)
1259;Tropismos
1260;Laurel
1261;American Girl Publishing Inc
